condition,symptom_list,symptom_text,question,body_system,severity,keywords,synonyms,icd10_codes,embedding_text
Urine Blockage in Newborns,"decreased urine output, no urine, palpable abdominal mass (enlarged kidney or bladder), poor feeding","Newborns with urine blockage may void only small amounts or not at all, have an enlarged bladder/kidney, and poor feeding.","What are the symptoms of Urine Blockage in Newborns?",Urology,Critical,"posterior urethral valves urinary obstruction newborn","fetal urinary obstruction, PUV",Q64.0,"Condition: Neonatal Urinary Obstruction
Body System: Urology
Severity: Critical
Symptoms: oliguria, abdominal mass, poor feeding
Keywords: posterior urethral valves, hydronephrosis"
Vesicoureteral Reflux (VUR),"often asymptomatic, UTI, flank pain, voiding dysfunction","VUR is often asymptomatic until a UTI occurs; some children have flank pain or voiding issues.","What are the symptoms of Vesicoureteral Reflux?",Urology,Moderate,"vesicoureteral reflux VUR UTI reflux","ureteral reflux, congenital VUR",N13.70,"Condition: Vesicoureteral Reflux
Body System: Urology
Severity: Moderate
Symptoms: often asymptomatic, recurrent UTIs, flank pain
Keywords: VUR, recurrent pyelonephritis, renal scarring"
Acinetobacter Infection,"pneumonia (cough, fever, dyspnea), bloodstream infection (fever, chills, hypotension), wound infection (pus, redness, pain), can colonize without symptoms","Acinetobacter can cause pneumonia, bloodstream or wound infections with corresponding symptoms; colonization may be asymptomatic.","What are the symptoms of Acinetobacter Infection?",Infectious Disease,Severe,"acinetobacter nosocomial infection pneumonia","Acinetobacter baumannii, multidrug‑resistant, hospital‑acquired",B96.89,"Condition: Acinetobacter Infection
Body System: Infectious Disease (Multisystem)
Severity: Severe
Symptoms: depends on site: pneumonia (cough, fever), bacteremia (fever, hypotension), wound (purulence)
Keywords: nosocomial, MDR, ICU pathogen"
Alkhurma Hemorrhagic Fever (AHF),"fever, anorexia, vomiting, abdominal pain, headache, myalgia; may progress to hemorrhagic signs","AHF begins with flu‑like symptoms: fever, anorexia, vomiting, abdominal pain, headache, myalgia, followed by hemorrhagic manifestations.","What are the symptoms of Alkhurma Hemorrhagic Fever?",Infectious Disease,Severe,"alkhurma hemorrhagic fever AHF tick‑borne","Alkhurma virus, KFDV variant",A92.8,"Condition: Alkhurma Hemorrhagic Fever
Body System: Infectious Disease
Severity: Severe
Symptoms: fever, headache, myalgia, vomiting, hemorrhagic signs
Keywords: tick‑borne, Kyasanur Forest disease virus variant"
Anaplasmosis,"fever, chills, headache, myalgia, malaise, nausea, cough","Anaplasmosis causes fever, chills, severe headache, myalgia, malaise, nausea, and cough.","What are the symptoms of Anaplasmosis?",Infectious Disease,Moderate,"anaplasmosis tick‑borne human granulocytic anaplasmosis","HGA, Anaplasma phagocytophilum",A79.82,"Condition: Human Granulocytic Anaplasmosis
Body System: Infectious Disease
Severity: Moderate
Symptoms: fever, headache, myalgia, chills, nausea, cough
Keywords: tick‑borne, Ixodes, intracellular"
Botulism,"double vision, blurred vision, drooping eyelids, slurred speech, difficulty swallowing, dry mouth, muscle weakness (descending), respiratory failure, infant: lethargy, constipation, poor feeding","Botulism presents with cranial nerve palsies: diplopia, ptosis, dysphagia, dysarthria, dry mouth, followed by descending paralysis and respiratory failure; infants present with lethargy, constipation, and poor feeding.","What are the symptoms of Botulism?",Infectious Disease,Critical,"botulism Clostridium botulinum neurotoxin paralysis","foodborne botulism, infant botulism",A05.1,"Condition: Botulism
Body System: Infectious Disease (Neurological)
Severity: Critical
Symptoms: diplopia, ptosis, dysphagia, dysarthria, descending weakness, respiratory failure
Keywords: botulinum toxin, flaccid paralysis, antitoxin"
Crimean‑Congo Hemorrhagic Fever (CCHF),"sudden onset, high fever, headache, back pain, joint pain, abdominal pain, vomiting, red eyes, flushed face, petechiae, severe hemorrhagic signs","CCHF begins suddenly with fever, headache, backache, joint pain, abdominal pain, vomiting, red eyes, flushed face, and petechiae, progressing to hemorrhage.","What are the symptoms of Crimean‑Congo Hemorrhagic Fever?",Infectious Disease,Critical,"CCHF hemorrhagic fever tick‑borne viral","Congo fever, viral hemorrhagic fever",A98.0,"Condition: Crimean‑Congo Hemorrhagic Fever
Body System: Infectious Disease
Severity: Critical
Symptoms: high fever, headache, myalgia, hemorrhage, petechiae
Keywords: tick‑borne, Nairovirus, nosocomial risk"
Chapare Hemorrhagic Fever (CHHF),"fever, headache, myalgia, arthralgia, nausea, vomiting, hemorrhagic signs, similar to other South American hemorrhagic fevers","CHHF presents with fever, headache, myalgia, arthralgia, nausea, vomiting, and hemorrhagic manifestations.","What are the symptoms of Chapare Hemorrhagic Fever?",Infectious Disease,Critical,"chapare hemorrhagic fever Mammarenavirus South America","Chapare virus, arenavirus",A96.8,"Condition: Chapare Hemorrhagic Fever
Body System: Infectious Disease
Severity: Critical
Symptoms: fever, headache, myalgia, vomiting, hemorrhage
Keywords: arenavirus, South American HF, rodent reservoir"
Ehrlichiosis,"fever, chills, headache, myalgia, nausea, vomiting, confusion (in severe cases), rash less common than RMSF","Ehrlichiosis presents with fever, chills, severe headache, myalgia, nausea, and sometimes confusion; rash occurs in minority.","What are the symptoms of Ehrlichiosis?",Infectious Disease,Moderate,"ehrlichiosis HME tick‑borne","human monocytic ehrlichiosis, E. chaffeensis",A79.89,"Condition: Ehrlichiosis
Body System: Infectious Disease
Severity: Moderate
Symptoms: fever, headache, myalgia, nausea, confusion
Keywords: tick‑borne, intracellular, monocytic"
Hantavirus Pulmonary Syndrome (HPS),"fatigue, fever, myalgia (large muscle groups), headache, dizziness, chills, then rapidly progressive cough, shortness of breath, pulmonary edema requiring ventilation","HPS begins with a prodrome of fatigue, fever, myalgia, then rapidly progresses to cough, dyspnea, pulmonary edema, and respiratory failure.","What are the symptoms of Hantavirus Pulmonary Syndrome?",Infectious Disease,Critical,"hantavirus pulmonary syndrome HPS sin nombre","HPS, HCPS, hantavirus cardiopulmonary syndrome",B33.4,"Condition: Hantavirus Pulmonary Syndrome
Body System: Infectious Disease (Respiratory)
Severity: Critical
Symptoms: fever, myalgia, rapid onset pulmonary edema, respiratory failure
Keywords: Sin Nombre virus, rodent reservoir, ARDS"
Hendra Virus Infection,"respiratory illness with severe flu‑like symptoms, cough, sore throat, headache, fever; may progress to encephalitis","Hendra virus causes severe flu‑like respiratory illness, and in some cases encephalitis.","What are the symptoms of Hendra Virus Disease?",Infectious Disease,Critical,"hendra virus HeV zoonotic equine","Henipavirus, equine morbillivirus",B33.8,"Condition: Hendra Virus Disease
Body System: Infectious Disease
Severity: Critical
Symptoms: respiratory illness, fever, headache, encephalitis
Keywords: bat‑borne, zoonotic, horses"
Kyasanur Forest Disease (KFD),"sudden onset chills, fever, headache, severe muscle pain, vomiting, gastrointestinal symptoms, bleeding problems","KFD begins suddenly with chills, fever, headache, severe myalgia, vomiting, and GI and bleeding symptoms.","What are the symptoms of Kyasanur Forest Disease?",Infectious Disease,Severe,"kyasanur forest disease KFD tick‑borne viral hemorrhagic","Kyasanur Forest disease virus (KFDV)",A92.8,"Condition: Kyasanur Forest Disease
Body System: Infectious Disease
Severity: Severe
Symptoms: fever, myalgia, vomiting, hemorrhagic tendency
Keywords: tick‑borne, Indian subcontinent, KFDV"
Lymphocytic Choriomeningitis (LCM),"fever, malaise, myalgia, anorexia, nausea, vomiting; second phase: meningitis/encephalitis (headache, neck stiffness, confusion)","LCM often presents with a biphasic illness: initial flu‑like symptoms (fever, myalgia, nausea), then neurological phase with meningitis or encephalitis.","What are the symptoms of Lymphocytic Choriomeningitis?",Infectious Disease,Severe,"LCM lymphocytic choriomeningitis arenavirus","LCMV, arenavirus meningitis",A87.2,"Condition: Lymphocytic Choriomeningitis
Body System: Infectious Disease (Neurological)
Severity: Severe
Symptoms: fever, myalgia, headache, then meningoencephalitis
Keywords: rodent, LCMV, aseptic meningitis"
Lujo Hemorrhagic Fever (LUHF),"fever, headache, myalgia, pharyngitis, vomiting, diarrhea, facial edema, rash, severe hemorrhage","LUHF resembles severe Lassa fever: fever, headache, myalgia, pharyngitis, vomiting, diarrhea, facial edema, rash, and hemorrhage.","What are the symptoms of Lujo Hemorrhagic Fever?",Infectious Disease,Critical,"lujo hemorrhagic fever LUHF arenavirus","Lujo virus, arenavirus HF",A96.8,"Condition: Lujo Hemorrhagic Fever
Body System: Infectious Disease
Severity: Critical
Symptoms: fever, pharyngitis, facial edema, hemorrhage
Keywords: arenavirus, rodent, Southern Africa"
Marburg Hemorrhagic Fever,"sudden fever, chills, headache, myalgia; maculopapular rash day 5; nausea, vomiting, chest pain, sore throat, progressive hemorrhage","Marburg HF starts abruptly with fever, chills, headache, myalgia; around day 5 a rash appears, followed by nausea, vomiting, hemorrhage.","What are the symptoms of Marburg Hemorrhagic Fever?",Infectious Disease,Critical,"marburg hemorrhagic fever filovirus","Marburg virus disease, filovirus HF",A98.3,"Condition: Marburg Virus Disease
Body System: Infectious Disease
Severity: Critical
Symptoms: fever, rash, vomiting, hemorrhage, shock
Keywords: filovirus, bats, laboratory"
Nocardiosis,"pulmonary: cough, shortness of breath, chest pain, fever; disseminated: brain abscesses (headache, seizures), skin abscesses","Nocardiosis most commonly causes lung infection with cough, dyspnea, fever; disseminated disease may cause brain abscess and skin lesions.","What are the symptoms of Nocardiosis?",Infectious Disease,Severe,"nocardiosis Nocardia pulmonary brain abscess","Nocardia asteroides complex, opportunistic infection",A43.0,"Condition: Nocardiosis
Body System: Infectious Disease
Severity: Severe
Symptoms: cough, dyspnea, fever; brain abscess, skin abscesses
Keywords: Gram‑positive rod, immunocompromised, sulfonamide"
Omsk Hemorrhagic Fever (OHF),"sudden chills, fever, headache, severe muscle pain, vomiting, gastrointestinal symptoms, bleeding, pneumonia","OHF starts suddenly with chills, fever, headache, severe myalgia, vomiting, GI symptoms, bleeding, and may have pneumonia.","What are the symptoms of Omsk Hemorrhagic Fever?",Infectious Disease,Severe,"omsk hemorrhagic fever OHF tick‑borne","Omsk hemorrhagic fever virus (OHFV)",A92.8,"Condition: Omsk Hemorrhagic Fever
Body System: Infectious Disease
Severity: Severe
Symptoms: fever, myalgia, vomiting, hemorrhage, pneumonia
Keywords: tick‑borne, Siberia, flavivirus"
Q Fever,"acute: high fever, severe headache, chills, myalgia, nonproductive cough, sweats, chest pain, photophobia; chronic: endocarditis, hepatitis","Acute Q fever presents with high fever, severe headache, chills, myalgia, cough, and chest pain; chronic Q fever may cause endocarditis or hepatitis.","What are the symptoms of Q Fever?",Infectious Disease,Moderate to Severe,"q fever Coxiella burnetii zoonotic","query fever, coxiellosis",A78,"Condition: Q Fever
Body System: Infectious Disease
Severity: Moderate (acute) / Severe (chronic)
Symptoms: fever, headache, cough, myalgia; chronic: endocarditis
Keywords: Coxiella, aerosol, livestock"
Rabies,"initial - flu‑like: fever, headache, malaise, discomfort at bite site; later - neurological: hydrophobia, aerophobia, agitation, confusion, paralysis, hypersalivation","Rabies first presents with flu‑like symptoms and paresthesia at the bite site, then progresses to hydrophobia, aerophobia, agitation, paralysis, and coma.","What are the symptoms of Rabies?",Infectious Disease,Critical,"rabies lyssavirus encephalitis hydrophobia aerophobia","hydrophobia, rabid, viral encephalitis",A82.9,"Condition: Rabies
Body System: Infectious Disease (Neurological)
Severity: Critical
Symptoms: fever, headache, paresthesia, hydrophobia, paralysis, coma
Keywords: lyssavirus, animal bite, post‑exposure prophylaxis"
Rocky Mountain Spotted Fever (RMSF),"fever, headache, rash (petechial starting at wrists/ankles), myalgia, nausea, vomiting, abdominal pain, conjunctivitis","RMSF begins with fever, headache, rash (petechial, starting peripherally), myalgia, nausea, and abdominal pain.","What are the symptoms of Rocky Mountain Spotted Fever?",Infectious Disease,Severe,"rocky mountain spotted fever RMSF rickettsia tick","RMSF, Rickettsia rickettsii, spotted fever",A77.0,"Condition: Rocky Mountain Spotted Fever
Body System: Infectious Disease
Severity: Severe
Symptoms: fever, petechial rash, headache, myalgia, nausea
Keywords: tick‑borne, vasculitis, doxycycline"
Typhoid Fever,"sustained high fever (103–104°F), weakness, stomach pain, headache, loss of appetite, rose spots, constipation or diarrhea","Typhoid fever causes sustained high fever, weakness, abdominal pain, headache, anorexia, and sometimes rose spots.","What are the symptoms of Typhoid Fever?",Infectious Disease,Severe,"typhoid fever Salmonella typhi enteric fever","enteric fever, Salmonella Typhi",A01.00,"Condition: Typhoid Fever
Body System: Infectious Disease
Severity: Severe
Symptoms: prolonged fever, headache, abdominal pain, anorexia, rose spots
Keywords: Salmonella Typhi, contaminated water, rose spots"
Chronic Fatigue Syndrome (CFS/ME),"severe chronic fatigue (>6 months), post‑exertional malaise, unrefreshing sleep, cognitive impairment, orthostatic intolerance, myalgia, headache, sore throat","CFS is characterized by profound fatigue, post‑exertional malaise, unrefreshing sleep, cognitive difficulties, and orthostatic intolerance, along with myalgia and headaches.","What are the symptoms of Chronic Fatigue Syndrome?",Rheumatology/Neurology,Moderate,"chronic fatigue syndrome myalgic encephalomyelitis CFS ME","myalgic encephalomyelitis, systemic exertion intolerance disease (SEID)",R53.82,"Condition: Chronic Fatigue Syndrome
Body System: Multisystem
Severity: Moderate
Symptoms: severe fatigue, post‑exertional malaise, unrefreshing sleep, cognitive dysfunction
Keywords: ME/CFS, immune dysregulation, exclusion diagnosis"
Cystocele,"vaginal bulge, feeling of something falling out of vagina, pelvic heaviness/fullness, difficulty starting urine stream, incomplete emptying, stress incontinence","Cystocele causes a vaginal bulge, pelvic pressure, difficulty voiding, and stress urinary incontinence.","What are the symptoms of Cystocele?",Urology/Gynecology,Moderate,"cystocele anterior vaginal wall prolapse","prolapsed bladder, anterior prolapse",N81.1,"Condition: Cystocele
Body System: Urology / Gynecology
Severity: Moderate
Symptoms: vaginal bulge, pelvic pressure, voiding dysfunction
Keywords: anterior pelvic organ prolapse, POP, pessary"
Hematuria (Blood in Urine),"microscopic: no symptoms; gross: pink, red, or cola‑colored urine","Microscopic hematuria is asymptomatic; gross hematuria is visible as pink, red, or brown urine.","What are the symptoms of Hematuria?",Urology,Mild to Severe (determined by cause),"hematuria blood in urine gross microscopic","hematuria, urinary tract bleeding",R31.9,"Condition: Hematuria
Body System: Urology
Severity: Variable
Symptoms: visible blood in urine, or microscopic only
Keywords: bladder cancer risk, UTI, stones"
Hirschsprung Disease,"neonatal bowel obstruction (failure to pass meconium), severe constipation, abdominal distension, vomiting, failure to thrive","Hirschsprung disease presents in neonates with failure to pass meconium, abdominal distension, vomiting, and severe constipation.","What are the symptoms of Hirschsprung Disease?",Gastrointestinal,Critical,"hirschsprung disease congenital megacolon aganglionosis","congenital aganglionic megacolon, HD",Q43.1,"Condition: Hirschsprung Disease
Body System: Gastrointestinal
Severity: Critical
Symptoms: failure to pass meconium, neonatal obstruction, chronic constipation, distension
Keywords: aganglionosis, pull‑through surgery, enterocolitis"
